MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
472452010	192614	C020-2	C020.12	Graves' disease	353295004	472452010	NA	32
490987015	114	C020-1	C020.11	Basedow's disease	353295004	2912991014	NA	32
3477921000006110	2	^ESCTGR347792	NA	Graves' disease with thyrotoxic crisis	60216004	100021016	NA	31
5108031000006113	743	^ESCTTH510803	NA	Thyrotoxicosis due to Graves' disease	237499004	355934012	NA	31
5112861000006111	2	^ESCTJU511286	NA	Juvenile Graves' disease	237824009	356405015	NA	31
5581861000006113	3	^ESCTOP558186	NA	Ophthalmic Graves disease	276177000	2536089013	NA	32
6196461000006114	569	^ESCTGR619646	NA	Graves disease	353295004	2920929014	NA	32
8043251000006111	4	^ESCTHI804325	NA	History of Graves' disease	137871000119109	3039294012	NA	31
